Species	Virus_name_abbreviation
Grapevine leafroll-associated virus 2	GLRaV2
Mint virus 1	MV1
Raspberry leaf mottle virus	RLMoV
Rose leaf rosette-associated virus	RLRaV
Strawberry chlorotic fleck-associated virus	SCFaV
Tobacco virus 1	TV1
Wheat yellow leaf virus	WYLV
Abutilon yellows virus	AYV
Bean yellow disorder virus	BYDV
Beet pseudoyellows virus	BPYV
Blackberry yellow vein-associated virus	BYVaV
Cucurbit yellow stunting disorder virus	CYSDV
Diodia vein chlorosis virus	DVCV
Lettuce chlorosis virus	LCV
Lettuce infectious yellows virus	LIYV
Potato yellow vein virus	PYVV
Strawberry pallidosis-associated virus	SPaV
Sweet potato chlorotic stunt virus	SPCSV
Tetterwort vein chlorosis virus	TwVCV
Tomato chlorosis virus	ToCV
Tomato infectious chlorosis virus	TICV
Areca palm velarivirus 1	ArPV1
Cordyline virus 1	CV1
Cordyline virus 2	CV2
Cordyline virus 3	CV3
Cordyline virus 4	CV4
Grapevine leafroll-associated virus 7	GLRaV7
Little cherry virus 1	LCV1
Actinidia virus 1	AcV1
Alligatorweed stunting virus	
Blueberry virus A	BVA
Megakepasma mosaic virus	
Mint vein banding-associated virus	MVBaV
Olive leaf yellowing-associated virus	OLYaV
Persimmon virus B	PeBV1
Pseudomonas virus phi6	phi6
Pseudomonas virus phi8	phi8
Pseudomonas virus phi12	phi12
Pseudomonas virus phi13	phi13
Pseudomonas virus phi2954	phi2954
Pseudomonas virus phiNN	phiNN
Pseudomonas virus phiYY	phiYY
Basella alba alphaendornavirus 1	BaEV1
Bell pepper alphaendornavirus	BPEV
Cucumis melo alphaendornavirus	CmEV
Erysiphe cichoracearum alphaendornavirus	EcEV
Grapevine endophyte alphaendornavirus	GEEV
Helicobasidium mompa alphaendornavirus 1	HmEV1
Hordeum vulgare alphaendornavirus	HvEV
Hot pepper alphaendornavirus	HPEV
Lagenaria siceraria alphaendornavirus	LsEV
Oryza rufipogon alphaendornavirus	OrEV
Oryza sativa alphaendornavirus	OsEV
Persea americana alphaendornavirus 1	PaEV1
Phaseolus vulgaris alphaendornavirus 1	PvEV1
Phaseolus vulgaris alphaendornavirus 2	PvEV2
Phytophthora alphaendornavirus 1	PEV1
Rhizoctonia cerealis alphaendornavirus 1	RcEV1
Vicia faba alphaendornavirus	VfEV
Winged bean alphaendornavirus 1	WBEV1
Yerba mate alphaendornavirus	YmEV
Alternaria brassicicola betaendornavirus 1	AbEV1
Botrytis cinerea betaendornavirus 1	BcEV1
Gremmeniella abietina betaendornavirus 1	GaEV1
Sclerotinia sclerotiorum betaendornavirus 1	SsEV1
Tuber aestivum betaendornavirus	TaEV
Apoi virus	APOIV
Aroa virus	AROAV
Aroa virus	AROAV
Aroa virus	BSQV
Aroa virus	IGUV
Aroa virus	NJLV
Bagaza virus	BAGV
Banzi virus	BANV
Bouboui virus	BOUV
Bukalasa bat virus	BBV
Cacipacore virus	CPCV
Carey Island virus	CIV
Cowbone Ridge virus	CRV
Dakar bat virus	DBV
Dengue virus	DENV-2
Dengue virus	DENV-1
Dengue virus	DENV-3
Dengue virus	DENV-4
Edge Hill virus	EHV
Entebbe bat virus	ENTV
Entebbe bat virus	SOKV
Gadgets Gully virus	GGYV
Ilheus virus	ILHV
Ilheus virus	ROCV
Israel turkey meningoencephalomyelitis virus	ITV
Japanese encephalitis virus	JEV
Jugra virus	JUGV
Jutiapa virus	JUTV
Kadam virus	KADV
Kedougou virus	KEDV
Kokobera virus	KOKV
Kokobera virus	STRV
Koutango virus	KOUV
Kyasanur Forest disease virus	KFDV
Kyasanur Forest disease virus	AHFV
Langat virus	LGTV
Louping ill virus	LIV
Louping ill virus	LIV-Brit
Louping ill virus	LIV-Ir
Louping ill virus	LIV-Spain
Louping ill virus	TSEV
Louping ill virus	GGEV
Meaban virus	MEAV
Modoc virus	MODV
Montana myotis leukoencephalitis virus	MMLV
Murray Valley encephalitis virus	MVEV
Murray Valley encephalitis virus	ALFV
Ntaya virus	NTAV
Omsk hemorrhagic fever virus	OHFV
Phnom Penh bat virus	PPBV
Phnom Penh bat virus	BCV
Powassan virus	POWV
Powassan virus	DTV
Rio Bravo virus	RBV
Royal Farm virus	RFV
Saboya virus	SABV
Saboya virus	POTV
Saint Louis encephalitis virus	SLEV
Sal Vieja virus	SVV
San Perlita virus	SPV
Saumarez Reef virus	SREV
Sepik virus	SEPV
Tembusu virus	TMUV
Tick-borne encephalitis virus	TBEV-Eur
Tick-borne encephalitis virus	TBEV-FE
Tick-borne encephalitis virus	TBEV-Sib
Tyuleniy virus	TYUV
Uganda S virus	UGSV
Usutu virus	USUV
Wesselsbron virus	WESSV
West Nile virus	WNV
West Nile virus	KUNV
Yaounde virus	YAOV
Yellow fever virus	YFV
Yokose virus	YOKV
Zika virus	ZIKV
Zika virus	ZIKV
Zika virus	ZIKV
Zika virus	ZIKV
Hepacivirus A	NPHV
Hepacivirus B	GBV-B
Hepacivirus C	HCV1a
Hepacivirus C	HCV1a
Hepacivirus C	HCV1b
Hepacivirus C	HCV2a
Hepacivirus C	HCV2b
Hepacivirus C	HCV3a
Hepacivirus C	HCV3k
Hepacivirus C	HCV4a
Hepacivirus C	HCV5a
Hepacivirus C	HCV6a
Hepacivirus C	HCV6g
Hepacivirus C	HCV7a
Hepacivirus D	GHV
Hepacivirus E	RHV-E
Hepacivirus F	RHV-F
Hepacivirus G	NRHV1
Hepacivirus G	NRHV1
Hepacivirus H	NRHV2
Hepacivirus I	RHV-I
Hepacivirus J	RHV-J
Hepacivirus K	BHV-K
Hepacivirus L	BHV-L
Hepacivirus M	BHV-M
Hepacivirus N	BoHV
Pegivirus A	GBV-A; SPgV
Pegivirus A	GBV-A; SPgV
Pegivirus B	GBV-D
Pegivirus B	GBV-D
Pegivirus C	HPgV
Pegivirus C	HPgV
Pegivirus C	HPgV
Pegivirus C	HPgV
Pegivirus C	HPgV
Pegivirus C	HPgV
Pegivirus C	HPgV
Pegivirus C	HPgV
Pegivirus C	HPgV
Pegivirus C	SPgV-ch
Pegivirus D	TDAV
Pegivirus E	EPgV
Pegivirus F	BPgV-F
Pegivirus G	BPgV-G
Pegivirus H	HHPgV
Pegivirus I	BPgV-I
Pegivirus J	RPbV
Pegivirus K	PPgV
Pestivirus A	BVDV1
Pestivirus B	BVDV2
Pestivirus C	CSFV
Pestivirus D	BDV
Pestivirus E	PAPeV
Pestivirus F	PPeV
Pestivirus G	GPeV
Pestivirus H	HoBiPeV
Pestivirus I	AydinPeV
Pestivirus J	RPeV
Pestivirus K	APPeV
Orthohepevirus A	HEV
Orthohepevirus A	HEV
Orthohepevirus A	HEV
Orthohepevirus A	HEV
Orthohepevirus A	HEV
Orthohepevirus A	HEV
Orthohepevirus A	HEV
Orthohepevirus A	HEV
Orthohepevirus A	HEV
Orthohepevirus B	AHEV
Orthohepevirus B	AHEV
Orthohepevirus B	AHEV
Orthohepevirus B	AHEV
Orthohepevirus C	RHEV
Orthohepevirus C	RHEV
Orthohepevirus C	FrHEV
Orthohepevirus C	FrHEV
Orthohepevirus D	BaHEV
Piscihepevirus A	CTV
Cryphonectria hypovirus 1	CHV1
Cryphonectria hypovirus 2	CHV2
Cryphonectria hypovirus 3	CHV3
Cryphonectria hypovirus 4	CHV4
Blueberry necrotic ring blotch virus	BNRBV
Citrus leprosis virus C	CiLVC
Citrus leprosis virus C2	CLVC2
Hibiscus green spot virus 2	HGSV2
Escherichia virus FI	
Escherichia virus Qbeta	
Escherichia virus BZ13	
Escherichia virus MS2	
Alfalfa enamovirus 1	AEV1
Citrus vein enation virus	CVEV
Grapevine enamovirus 1	GEV1
Pea enation mosaic virus 1	PEMV1
Barley yellow dwarf virus kerII	BYDVkerII
Barley yellow dwarf virus kerIII	BYDVkerIII
Barley yellow dwarf virus MAV	BYDVPMAV
Barley yellow dwarf virus PAS	BYDVPAS
Barley yellow dwarf virus PAV	BYDVPAV
Bean leafroll virus	BLRV
Cherry associated luteovirus	ChaLV
Nectarine stem pitting associated virus	NSPaV
Rose spring dwarf-associated virus	RSDaV
Soybean dwarf virus	SbDV
Beet chlorosis virus	BChV
Beet mild yellowing virus	BMYV
Beet western yellows virus	BWYV
Carrot red leaf virus	CtRLV
Cereal yellow dwarf virus RPS	CYDVRPS
Cereal yellow dwarf virus RPV	BYDVPAV
Chickpea chlorotic stunt virus	CpCSV
Cotton leafroll dwarf virus	CLDV
Cucurbit aphid-borne yellows virus	CAbYV
Maize yellow dwarf virus RMV	MYDVRMV
Maize yellow mosaic virus	MaYMV
Melon aphid-borne yellows virus	MABYV
Pepo aphid-borne yellows virus	PABYV
Pepper vein yellows virus 1	PeVYV-1
Pepper vein yellows virus 2	PeVYV-2
Pepper vein yellows virus 3	PeVYV-3
Pepper vein yellows virus 4	PeVYV-4
Pepper vein yellows virus 5	PeVYV-5
Pepper vein yellows virus 6	PeVYV-6
Potato leafroll virus	PLRV
Suakwa aphid-borne yellows virus	SAbYV
Sugarcane yellow leaf virus	ScYLV
Tobacco vein distorting virus	TVDV
Turnip yellows virus	TuYV
Barley yellow dwarf virus GPV	BYDVGPV
Barley yellow dwarf virus SGV	BYDVSGV
Chickpea stunt disease associated virus	CpSDaV
Groundnut rosette assistor virus	GRAV
Indonesian soybean dwarf virus	ISDV
Sweet potato leaf speckling virus	SPLSV
Tobacco necrotic dwarf virus	TNDV
Rubella virus	RUBV
Rosellinia necatrix megabirnavirus 1	RnMBV1
Cryphonectria mitovirus 1	CMV1
Ophiostoma mitovirus 4	OMV4
Ophiostoma mitovirus 5	OMV5
Ophiostoma mitovirus 6	OMV6
Ophiostoma mitovirus 3a	OMV3a
Saccharomyces 20S RNA narnavirus	ScNV20S
Saccharomyces 23S RNA narnavirus	ScNV23S
Black beetle virus	BBV
Boolarra virus	BoV
Flock House virus	FHV
Flock House virus	FHV
Flock House virus	FHV
Flock House virus	FHV
Nodamura virus	NoV
Nodamura virus	NoV
Pariacoto virus	PaV
Barfin flounder nervous necrosis virus	BFNNV
Barfin flounder nervous necrosis virus	ACNNV
Barfin flounder nervous necrosis virus	AHNV
Barfin flounder nervous necrosis virus	AHNV
Redspotted grouper nervous necrosis virus	RGNNV
Redspotted grouper nervous necrosis virus	DGNNV
Redspotted grouper nervous necrosis virus	GGNNV
Redspotted grouper nervous necrosis virus	JFNNV
Redspotted grouper nervous necrosis virus	JFNNV
Redspotted grouper nervous necrosis virus	MGNNV
Redspotted grouper nervous necrosis virus	SBNNV
Redspotted grouper nervous necrosis virus	LcEV
Striped jack nervous necrosis virus	SJNNV
Striped jack nervous necrosis virus	SSNNV
Striped jack nervous necrosis virus	SSNNV
Tiger puffer nervous necrosis virus	TPNNV
Beet cryptic virus 1	BCV1
Carrot cryptic virus	CCV
Cherry chlorotic rusty spot associated partitivirus	CCRSaPV
Cherry chlorotic rusty spot associated partitivirus	CCRSaPV
Chondrostereum purpureum cryptic virus 1	CpCV1
Flammulina velutipes browning virus	FvBV
Helicobasidium mompa partitivirus V70	HmPVV70
Heterobasidion partitivirus 1	HetPV1
Heterobasidion partitivirus 3	HetRV3
Heterobasidion partitivirus 12	HetPV12
Heterobasidion partitivirus 13	HetPV13
Heterobasidion partitivirus 13	HetPV13
Heterobasidion partitivirus 13	HetPV13
Heterobasidion partitivirus 13	HetPV13
Heterobasidion partitivirus 15	HetPV15
Rosellinia necatrix partitivirus 2	RnPV2
Vicia cryptic virus	VCV
Vicia cryptic virus	VCV
Vicia cryptic virus	VCV
Vicia cryptic virus	VCV
Vicia cryptic virus	VCV
Vicia cryptic virus	VCV
Vicia cryptic virus	VCV
White clover cryptic virus 1	WCCV1
Atkinsonella hypoxylon virus	AhV
Cannabis cryptic virus	CCV
Cannabis cryptic virus	CCV
Ceratocystis resinifera virus 1	CrV1
Ceratocystis resinifera virus 1	CpPV
Ceratocystis resinifera virus 1	CpPV
Crimson clover cryptic virus 2	CCCV2
Dill cryptic virus 2	DCV2
Fusarium poae virus 1	FpV1
Fusarium poae virus 1	FpV1
Heterobasidion partitivirus 2	HetRV2
Heterobasidion partitivirus 2	HetRV2
Heterobasidion partitivirus 2	HetRV2
Heterobasidion partitivirus 2	HetRV2
Heterobasidion partitivirus 2	HetRV2
Heterobasidion partitivirus 2	HetRV2
Heterobasidion partitivirus 2	HetRV2
Heterobasidion partitivirus 7	HetRV7
Heterobasidion partitivirus 7	HetRV7
Heterobasidion partitivirus 7	HetRV7
Heterobasidion partitivirus 8	HetRV8
Heterobasidion partitivirus P	HetPVP
Hop trefoil cryptic virus 2	HTCV2
Pleurotus ostreatus virus 1	PoV1
Primula malacoides virus 1	PmV1
Red clover cryptic virus 2	RCCV2
Rhizoctonia solani virus 717	RsV
Rosellinia necatrix virus 1	RnV1
White clover cryptic virus 2	WCCV2
Cryptosporidium parvum virus 1	CSpV1
Cryptosporidium parvum virus 1	CSpV1
Beet cryptic virus 2	BCV2
Beet cryptic virus 3	BCV3
Fig cryptic virus	FCV
Pepper cryptic virus 1	PCV1
Pepper cryptic virus 2	PCV2
Pepper cryptic virus 2	PCV2
Aspergillus ochraceous virus	AoV
Discula destructiva virus 1	DdV1
Discula destructiva virus 2	DdV2
Fusarium solani virus 1	FsV1
Gremmeniella abietina RNA virus MS1	GaRNAVMS1
Gremmeniella abietina RNA virus MS1	GaRNAVMS1
Ophiostoma partitivirus 1	OPV1
Penicillium stoloniferum virus F	PsV-F
Penicillium stoloniferum virus S	PsV-S
Penicillium stoloniferum virus S	PsV-S
Agaricus bisporus virus 4	AbV4
Alfalfa cryptic virus 1	ACV1
Carnation cryptic virus 1	CCV1
Carrot temperate virus 1	CTV1
Carrot temperate virus 2	CTV2
Carrot temperate virus 3	CTV3
Carrot temperate virus 4	CTV4
Gaeumannomyces graminis virus 0196A	GgV
Gaeumannomyces graminis virus T1A	GgV
Hop trefoil cryptic virus 1	HTCV1
Hop trefoil cryptic virus 3	HTCV3
Radish yellow edge virus	RYEV
Ryegrass cryptic virus	RCV
Spinach temperate virus	STV
White clover cryptic virus 3	WCCV3
Euprosterna elaeasa virus	EeV
Thosea asigna virus	TaV
Human picobirnavirus	HPBV
Human picobirnavirus	HPBV
Human picobirnavirus	HPBV
Rabbit picobirnavirus	RPBV
Apple dimple fruit viroid	ADFVd
Apple scar skin viroid	ASSVd
Australian grapevine viroid	AGVd
Citrus bent leaf viroid	CBLVd
Citrus dwarfing viroid	CDVd
Citrus viroid V	CVdV
Citrus viroid VI	CVdVI
Grapevine yellow speckle viroid 1	GYSVd1
Grapevine yellow speckle viroid 2	GYSVd2
Pear blister canker viroid	PBCVd
Citrus bark cracking viroid	CBCVd
Coconut cadang-cadang viroid	CCCVd
Coconut tinangaja viroid	CTVd
Hop latent viroid	HLVd
Coleus blumei viroid 1	CbVd1
Coleus blumei viroid 2	CbVd2
Coleus blumei viroid 3	CbVd3
Dahlia latent viroid	DLVd
Hop stunt viroid	HSVd
Chrysanthemum stunt viroid	CSVd
Citrus exocortis viroid	CEVd
Columnea latent viroid	CLVd
Iresine viroid 1	IrVd1
Pepper chat fruit viroid	PCFVd
Potato spindle tuber viroid	PSTVD
Tomato apical stunt viroid	TASVd
Tomato chlorotic dwarf viroid	TCDVd
Tomato planta macho viroid	TPMVd
Bellflower veinal mottle virus	BVMoV
Blackberry virus Y	BlVY
Barley mild mosaic virus	BaMMV
Barley yellow mosaic virus	BaYMV
Oat mosaic virus	OMV
Rice necrosis mosaic virus	RNMV
Wheat spindle streak mosaic virus	WSSMV
Wheat yellow mosaic virus	WYMV
Cassava brown streak virus	CBSV
Coccinia mottle virus	CocMoV
Cucumber vein yellowing virus	CVYV
Squash vein yellowing virus	SqVYV
Sweet potato mild mottle virus	SPMMV
Tomato mild mottle virus	TMMoV
Tomato mild mottle virus	EMLMV
Ugandan cassava brown streak virus	UCBSV
Alpinia mosaic virus	AlpMV
Artichoke latent virus	ArLV
Artichoke latent virus	RanLV
Broad-leafed dock virus A	BDVA
Cardamom mosaic virus	CdMV
Chinese yam necrotic mosaic virus	CYNMV
Maclura mosaic virus	MacMV
Narcissus latent virus	NLV
Yam chlorotic mosaic virus	YCMV
Caladenia virus A	CalVA
Sugarcane streak mosaic virus	SCSMV
Triticum mosaic virus	TriMV
African eggplant mosaic virus	AEMV
Algerian watermelon mosaic virus	AWMV
Alstroemeria mosaic virus	AlMV
Alternanthera mild mosaic virus	AltMMV
Amaranthus leaf mottle virus	AmLMV
Amazon lily mosaic virus	ALiMV
Angelica virus Y	AVY
Apium virus Y	ApVY
Araujia mosaic virus	ArjMV
Arracacha mottle virus	AMoV
Asparagus virus 1	AV1
Banana bract mosaic virus	BBrMV
Barbacena virus Y	BarVY
Basella rugose mosaic virus	BaRMV
Basella rugose mosaic virus	PcLMV
Bean common mosaic necrosis virus	BCMNV
Bean common mosaic virus	BlCMV
Bean common mosaic virus	PStV
Bean common mosaic virus	BCMV
Bean yellow mosaic virus	BYMV
Bean yellow mosaic virus	WhLMV
Beet mosaic virus	BtMV
Bidens mosaic virus	BiMV
Bidens mottle virus	BiMoV
Blue squill virus A	BSVA
Brugmansia mosaic virus	BruMV
Brugmansia suaveolens mottle virus	BsMoV
Butterfly flower mosaic virus	BFMV
Calanthe mild mosaic virus	CalMMV
Calla lily latent virus	CLLV
Callistephus mottle virus	CalMoV
Canna yellow streak virus	CaYSV
Carnation vein mottle virus	CVMoV
Carrot thin leaf virus	CTLV
Carrot virus Y	CarVY
Catharanthus mosaic virus	CatMV
Celery mosaic virus	CeMV
Ceratobium mosaic virus	CerMV
Chilli ringspot virus	CRSV
Chilli veinal mottle virus	ChiVMV
Chinese artichoke mosaic virus	ChAMV
Clitoria virus Y	ClVY
Clover yellow vein virus	ClYVV
Cocksfoot streak virus	CSV
Colombian datura virus	CDV
Commelina mosaic virus	ComMV
Cowpea aphid-borne mosaic virus	CABMV
Cucurbit vein banding virus	CVBV
Cypripedium virus Y	CypVY
Cyrtanthus elatus virus A	CEVA
Daphne mosaic virus	DapMV
Daphne virus Y	DVY
Dasheen mosaic virus	DsMV
Dasheen mosaic virus	VanMV
Datura shoestring virus	DSSV
Diuris virus Y	DiVY
Donkey orchid virus A	DOVA
East Asian Passiflora virus	EAPV
Endive necrotic mosaic virus	ENMV
Euphorbia ringspot virus	EuRSV
Freesia mosaic virus	FreMV
Fritillary virus Y	FVY
Gloriosa stripe mosaic virus	GSMV
Habenaria mosaic virus	HaMV
Hardenbergia mosaic virus	HarMV
Henbane mosaic virus	HMV
Hibbertia virus Y	HiVY
Hippeastrum mosaic virus	HiMV
Hyacinth mosaic virus	HyaMV
Impatiens flower break virus	IFBV
Iris fulva mosaic virus	IFMV
Iris mild mosaic virus	IMMV
Iris severe mosaic virus	ISMV
Japanese yam mosaic virus	JYMV
Jasmine virus T	JVT
Johnsongrass mosaic virus	JGMV
Kalanchoe mosaic virus	KMV
Keunjorong mosaic virus	KjMV
Konjac mosaic virus	KoMV
Leek yellow stripe virus	LYSV
Lettuce Italian necrotic virus	LINV
Lettuce mosaic virus	LMV
Lily mottle virus	LMoV
Lupinus mosaic virus	LuMV
Lycoris mild mottle virus	LyMMoV
Maize dwarf mosaic virus	MDMV
Malva vein clearing virus	MVCV
Meadow saffron breaking virus	MSBV
Mediterranean ruda virus	MeRV
Moroccan watermelon mosaic virus	MWMV
Narcissus degeneration virus	NDV
Narcissus late season yellows virus	NLSYV
Narcissus yellow stripe virus	NYSV
Nerine yellow stripe virus	NeYSV
Nothoscordum mosaic virus	NoMV
Onion yellow dwarf virus	OYDV
Ornithogalum mosaic virus	OrMV
Ornithogalum virus 2	OrV2
Ornithogalum virus 3	OrV3
Panax virus Y	PanVY
Papaya leaf distortion mosaic virus	PLDMV
Papaya ringspot virus	PRSV
Papaya ringspot virus	PRSV
Paris mosaic necrosis virus	PMNV
Parsnip mosaic virus	ParMV
Passiflora chlorosis virus	PaCV
Passion fruit woodiness virus	PWV
Pea seed-borne mosaic virus	PSbMV
Peanut mottle virus	PeMoV
Pecan mosaic-associated virus	PMaV
Pennisetum mosaic virus	PenMV
Pepper mottle virus	PepMoV
Pepper severe mosaic virus	PepSMV
Pepper veinal mottle virus	PVMV
Pepper yellow mosaic virus	PepYMV
Peru tomato mosaic virus	PTV
Pfaffia mosaic virus	PfMV
Pleione virus Y	PlVY
Plum pox virus	PPV
Plum pox virus	PPV
Plum pox virus	PPV
Plum pox virus	PPV
Plum pox virus	PPV
Plum pox virus	PPV
Pokeweed mosaic virus	PkMV
Potato virus A	PVA
Potato virus A	TamMV
Potato virus V	PVV
Potato virus Y	PVY
Potato virus Y	PVY
Potato virus Y	PVY
Potato virus Y	PVY
Potato virus Y	PVY
Ranunculus leaf distortion virus	RanLDV
Ranunculus mild mosaic virus	RanMMV
Ranunculus mosaic virus	RanMV
Rhopalanthe virus Y	RhVY
Saffron latent virus	SaLV
Sarcochilus virus Y	SaVY
Scallion mosaic virus	ScaMV
Shallot yellow stripe virus	SYSV
Sorghum mosaic virus	SrMV
Soybean mosaic virus	SMV
Soybean mosaic virus	SMV
Spiranthes mosaic virus 3	SpMV3
Sudan watermelon mosaic virus	SuWMV
Sugarcane mosaic virus	SCMV
Sunflower chlorotic mottle virus	SCMoV
Sunflower mild mosaic virus	SMMV
Sunflower mosaic virus	SuMV
Sunflower ring blotch virus	SuRBV
Sweet potato feathery mottle virus	SPFMV
Sweet potato latent virus	SPLV
Sweet potato mild speckling virus	SPMSV
Sweet potato virus 2	SPV2
Sweet potato virus C	SPVC
Sweet potato virus G	SPVG
Tamarillo leaf malformation virus	TLMV
Telfairia mosaic virus	TeMV
Telosma mosaic virus	TelMV
Thunberg fritillary mosaic virus	TFMV
Tobacco etch virus	TEV
Tobacco mosqueado virus	TMosqV
Tobacco vein banding mosaic virus	TVBMV
Tobacco vein mottling virus	TVMV
Tomato necrotic stunt virus	TNSV
Tradescantia mild mosaic virus	TraMMV
Tuberose mild mosaic virus	TuMMV
Tuberose mild mottle virus	TuMMoV
Tulip breaking virus	TBV
Tulip mosaic virus	TulMV
Turnip mosaic virus	TuMV
Twisted-stalk chlorotic streak virus	TSCSV
Vallota mosaic virus	ValMV
Vanilla distortion mosaic virus	VDMV
Verbena virus Y	VVY
Watermelon leaf mottle virus	WLMV
Watermelon mosaic virus	WMV
Wild melon banding virus	WMVBV
Wild onion symptomless virus	WoSV
Wild potato mosaic virus	WPMV
Wild tomato mosaic virus	WTMV
Wisteria vein mosaic virus	WVMV
Yam mild mosaic virus	YMMV
Yam mosaic virus	YMV
Yambean mosaic virus	YBMV
Zantedeschia mild mosaic virus	ZaMMV
Zea mosaic virus	IJGMV
Zea mosaic virus	ZeMV
Zucchini shoestring virus	ZSV
Zucchini tigre mosaic virus	ZTMV
Zucchini yellow fleck virus	ZYFV
Zucchini yellow mosaic virus	ZYMV
Rose yellow mosaic virus	RYMV
Agropyron mosaic virus	AgMV
Hordeum mosaic virus	HoMV
Ryegrass mosaic virus	RGMV
Brome streak mosaic virus	BrSMV
Oat necrotic mottle virus	ONMV
Tall oatgrass mosaic virus	TOgMV
Wheat eqlid mosaic virus	WEqMV
Wheat streak mosaic virus	WSMV
Yellow oat grass mosaic virus	YOgMV
Common reed chlorotic stripe virus	CRCSV
Longan witches broom-associated virus	LWBD
Spartina mottle virus	SpMoV
Rosellinia necatrix quadrivirus 1	RnQV1
Rosellinia necatrix quadrivirus 1	RnQV1
Rosellinia necatrix quadrivirus 1	RnQV1
Eriocheir sinensis reovirus	ESRV
Micromonas pusilla reovirus	MpRV
African horse sickness virus	AHSV
Bluetongue virus	BTV
Changuinola virus	CGLV
Chenuda virus	CNUV
Chobar Gorge virus	CGV
Corriparta virus	CORV
Epizootic hemorrhagic disease virus	EHDV
Equine encephalosis virus	EEV
Eubenangee virus	EUBV
Great Island virus	GIV
Ieri virus	IERIV
Lebombo virus	LEBV
Orungo virus	ORUV
Palyam virus	PALV
Peruvian horse sickness virus	PHSV
St Croix River virus	SCRV
Umatilla virus	UMAV
Wad Medani virus	WMV
Wallal virus	WALV
Warrego virus	WARV
Wongorr virus	WGRV
Yunnan orbivirus	YUOV
Rice dwarf virus	RDV
Rice gall dwarf virus	RGDV
Wound tumor virus	WTV
Rotavirus A	RVA
Rotavirus B	RVB
Rotavirus C	RVC
Rotavirus D	RVD
Rotavirus E	RVE
Rotavirus F	RVF
Rotavirus G	RVG
Rotavirus H	RVH
Rotavirus I	RVI
Banna virus	BAV
Kadipiro virus	KDV
Liao ning virus	LNSV
Aquareovirus A	ARVA
Aquareovirus B	ARVB
Aquareovirus C	ARVC
Aquareovirus D	ARVD
Aquareovirus E	ARVE
Aquareovirus F	ARVF
Aquareovirus G	ARVG
Colorado tick fever virus	CTFV
Eyach virus	EyV
Cypovirus 1	CPV1
Cypovirus 2	CPV2
Cypovirus 3	CPV3
Cypovirus 4	CPV4
Cypovirus 5	CPV5
Cypovirus 6	CPV6
Cypovirus 7	CPV7
Cypovirus 8	CPV8
Cypovirus 9	CPV9
Cypovirus 10	CPV10
Cypovirus 11	CPV11
Cypovirus 12	CPV12
Cypovirus 13	CPV13
Cypovirus 14	CPV14
Cypovirus 15	CPV15
Cypovirus 16	CPV16
Aedes pseudoscutellaris reovirus	APRV
Fiji disease virus	FDV
Garlic dwarf virus	GDV
Maize rough dwarf virus	MRDV
Mal de Rio Cuarto virus	MRCV
Nilaparvata lugens reovirus	NLRV
Oat sterile dwarf virus	OSDV
Pangola stunt virus	PaSV
Rice black streaked dwarf virus	RBSDV
Southern rice black-streaked dwarf virus	SRBSDV
Idnoreovirus 1	IRV1
Idnoreovirus 2	IRV2
Idnoreovirus 3	IRV3
Idnoreovirus 4	IRV4
Idnoreovirus 5	IRV5
Mycoreovirus 1	MYRV1
Mycoreovirus 2	MYRV2
Mycoreovirus 3	MYRV3
Avian orthoreovirus	ARV
Baboon orthoreovirus	BRV
Mahlapitsi orthoreovirus	MAHLV
Mammalian orthoreovirus	MRV
Nelson Bay orthoreovirus	NBV
Piscine orthoreovirus	PRV
Reptilian orthoreovirus	RRV
Echinochloa ragged stunt virus	ERSV
Rice ragged stunt virus	RRSV
Macrobrachium satellite virus 1	XSV
Macrobrachium satellite virus 1	XSV-Ch
Macrobrachium satellite virus 1	XSV-M308
Macrobrachium satellite virus 1	XSV-M299
Macrobrachium satellite virus 1	XSV-M298
Macrobrachium satellite virus 1	XSV-M23
Macrobrachium satellite virus 1	XSV-Th
Macrobrachium satellite virus 1	XSV-In
Poinsettia latent virus	PnLV
Artemisia virus A	AVA
Blueberry shoestring virus	BSV
Cocksfoot mottle virus	CMV
Cymbidium chlorotic mosaic virus	CCMV
Imperata yellow mottle virus	IYMV
Lucerne transient streak virus	LTSV
Papaya lethal yellowing virus	PLYV
Rice yellow mottle virus	RYMV
Rottboellia yellow mottle virus	RoYMV
Ryegrass mottle virus	RMV
Sesbania mosaic virus	SeMV
Solanum nodiflorum mottle virus	SNMV
Southern bean mosaic virus	SBMV
Southern cowpea mosaic virus	SCMV
Sowbane mosaic virus	SMV
Soybean yellow common mosaic virus	SYCMV
Subterranean clover mottle virus	SuCMV
Turnip rosette virus	TuRV
Velvet tobacco mottle virus	VTMV
Solenopsis invicta virus 3	SINV3
Nylanderia fulva virus 1	NfV1
Aura virus	AURAV
Barmah Forest virus	BFV
Bebaru virus	BEBV
Cabassou virus	CABV; VEEV-V
Chikungunya virus	CHIKV
Chikungunya virus	CHIKV
Eastern equine encephalitis virus	EEEV-NA
Eilat virus	EILV
Everglades virus	EVEV; VEEV-II
Fort Morgan virus	FMV
Fort Morgan virus	BUGCV
Getah virus	GETV
Getah virus	GETV; SAGV
Getah virus	GETV; ALPHAV-M1
Highlands J virus	HJV
Madariaga virus	MADV; EEEV-SA
Madariaga virus	MADV; EEEV-SA
Madariaga virus	MADV; EEEV-SA
